"payloadSizeInByte","messagesPerSecond","dataGenerationInMs","executionInMs","allSentInMs"
"2","1000","0.04813099999955739","248.79572200000075","248.82739299999957"
"16","1000","0.043546999999307445","285.3833740000009","285.409044"
"128","1000","0.042964000000210945","1891.5702499999989","1891.5910449999992"
"1024","1000","0.043131000000357744","15873.371316","15873.392152"
"2","11000","0.038369999994756654","249.69053800000984","249.71432700000878"
"16","11000","0.037621000010403804","186.41235199999937","186.42880799999693"
"128","11000","0.038037999998778105","1939.8715479999955","1939.8883799999894"
"1024","11000","0.03541300000506453","9349.323644000004","9349.342558999997"
"2","21000","0.035204999992856756","9.837406000006013","9.85411300000851"
"16","21000","0.038954999996349216","159.02853999999934","159.04570499999681"
"128","21000","0.03699700001743622","1793.2086079999863","1793.2256059999927"
"1024","21000","0.03991399999358691","9558.09961199999","9558.124985000002"
"2","31000","0.03903899999568239","16.044378000020515","16.06658499999321"
"16","31000","0.03612299999804236","100.92890299999272","100.95261000000755"
"128","31000","0.036955000017769635","748.982010000007","749.0048829999869"
"1024","31000","0.03628899998147972","8349.077564999985","8349.100187999982"
"2","41000","0.03420699998969212","145.10348799999338","145.12873699999182"
"16","41000","0.03503999998793006","122.73627500000293","122.77710599999409"
"128","41000","0.03758199998992495","1023.94993599999","1023.9732680000016"
"1024","41000","0.03566500000306405","8360.96106500001","8369.322398999997"
"2","51000","0.034832000004826114","9.173233000008622","9.197649000008823"
"16","51000","0.03795700002228841","208.97055500000715","208.9946789999958"
"128","51000","0.04253999999491498","1017.3415150000073","1017.3653469999845"
"1024","51000","0.03408300000592135","11519.56043099999","11519.585013000004"
"2","61000","0.03999900000053458","9.848614999995334","9.87265699999989"
"16","61000","0.042956999997841194","306.58336299998336","306.60736199998064"
"128","61000","0.03887399999075569","1050.3644599999825","1050.3887509999913"
"2","71000","0.03333299999940209","21.565388999995776","21.58997199998703"
"16","71000","0.03649900000891648","211.9607309999992","211.98393899999792"
"128","71000","0.03412399999797344","967.1378179999883","967.161025999987"
