payloadSizeInByte,messagesPerSecond,dataGenerationInMs,executionInMs,allSentInMs
2,1000,748.892400000001,14909.585156,14984.139348
16,1000,583.295908,13298.784455,13307.883442
128,1000,670.800399,11619.774195,11624.047535
1024,1000,1039.668947,11589.835829,11595.668221
2,11000,8225.14250999999,118782.99706,118789.554584
16,11000,7989.89515900001,117289.753461,117295.895087
128,11000,9564.49366500002,115294.904288,115301.725131
1024,11000,13960.770588,118211.815703,118218.977655
2,21000,15980.6962570001,220089.621773,220097.437443
16,21000,16880.726199,217845.267429,217851.915947
128,21000,18334.584846,219492.686324,219499.317009
1024,21000,26792.9483959998,224329.467615,224336.299998
2,31000,25222.2492750001,325223.738059,325233.203222
16,31000,25970.7778049998,320245.222454,320251.589087
128,31000,29210.5435959999,321328.27846,321334.980764
1024,31000,41811.7612360003,331412.584592,331420.641325
