allReceivedInMs,messagesPerSecondReceived
14996.242366999992,666.8337144247226
13434.624940000009,744.3453051097974
11728.404643000002,852.6308824080703
11773.301314000011,849.3794334566701
21620.937888,462.5146259520118
118869.559751,925.3840952252253
971.6901320000179,161.5741426506502
5220.570298000006,819.833802762825
111013.27066000004,950.9043321794152
115458.58760800003,952.7225499541637
118389.79910100007,929.134104756419
1178.4996139999712,134.06877535048886
106322.541662,954.3601800131315
66932.224162,974.9414548373514
45234.19365000003,953.1948404699808
213440.319578,962.2549310555362
4398.898860000074,1049.353519348686
219593.1192999999,956.3141170789867
989.1969070001505,111.20131818202628
3043.940558000002,681.0251253270362
69824.36165099987,944.8564718680142
150225.08186500007,944.203179915504
5139.643893999979,817.3718036971876
108249.3590820001,943.0448444749703
179166.838154,959.2232679368914
32448.20579200005,981.6875609144913
5927.3692270000465,830.7226716315307
314441.5677979998,970.2152362883003
308544.0970330001,963.6645227025653
12813.699097999837,988.551385756925
1404.955267000012,118.86499443971162
74842.42364800023,924.9032383767491
4051.8314370000735,1134.7954798939768
991.9936190000735,1098.797390550472
979.2396309999749,1115.150945111236
967.2302210000344,1197.2330628820985
64791.16615200043,916.7607797126535
183237.6680379999,945.6298033877301
